name,address,categories,latitude,longitude
"Noodles & Company (1055 Pearson Dr)","1055 Pearson Dr, Hudson, WI 54016","Healthy,Pasta,Salads",44.9584999,-92.7295990
"The Wooden Chair (1059 Main St)","1059 Main Street, Stevens Point, WI 54481","Burgers,American,Sandwiches",44.5231018,-89.5922012
"Starbucks (1062 Grand Ave)","1062 Grand Ave, Saint Paul, MN 55105","Bakery,Breakfast and Brunch,Cafe,Coffee & Tea",44.9398003,-93.1538010
"Chipotle Mexican Grill (10629 France Ave S)","10629 France Ave S, Bloomington, MN 55431","$,Healthy,Mexican",44.8111992,-93.3376999
"Taco Bell (10729 University Ave NE)","10729 University Ave Ne, Blaine, MN 55434","Burritos,Fast Food,Mexican",45.1651993,-93.2743988
"The Ice Cream Shop","10740 Normandale Blvd, Bloomington, MN 55437","Ice Cream & Frozen Yogurt,Comfort Food,Desserts",44.8083000,-93.3597031
"Cellars Wines & Spirits - Shoreview","1077 Highway 96 West, Shoreview, MN 55126","Alcohol,Liquor Stores,Wine",45.0807991,-93.1554031
"Dosirak Restaurant","108 Division Street, Stevens Point, WI 54481","Korean,Asian,BBQ",44.5335999,-89.5841980
"Caribou Coffee (1080 Highway 96)","1080 Highway 96, White Bear Lake, MN 55127","$$,Cafe,Sandwich",45.0787010,-93.0634003
Boondoggles,"10800 Wy-59, Gillette, Wy 82718, Usa,","Deli,American",44.2280006,-105.4660034
"Popeyes (1089 University Ave W)","1089 University Ave W, Saint Paul, MN 55104","$,American,Fast Food,Comfort Food,Family Meals,Family Friendly",44.9560013,-93.1548996
"Toppers Pizza (Appleton)","109 E College Ave, Appleton, WI 54911","Pizza,Italian",44.2616005,-88.4141998
"Hooligan's Sports Bar","109 N Broadway, Billings, MT","Bar Food,American,Family Friendly,Local Eats",45.7826996,-108.5149994
"Red Robin Gourmet Burgers (1090 Gramsie Rd)","1090 Gramsie Rd, Shoreview, MN 55126","American,Burgers,Chicken",45.0606995,-93.1548004
"Catrinas Mexican Restaurant","1091 Geneva Avenue, Oakdale, MN 55128","$,Mexican,Latin American,New Mexican,Local Eats",44.9640999,-92.9927979
"Caribou Coffee (110 1St St S)","110 1st St S, Sauk Rapids, MN 56379","Cafe,Sandwich",45.5875015,-94.1725006
"Pizza Ranch (110 2nd St S)","110 2nd Street South , Suite 119, Waite Park, MN 56387","Pizza,American,Italian",45.5485001,-94.2256012
"Tim Horton's (110 Waterloo St N.)","110 Waterloo St N., Thunder Bay, ON P7C 6A8","Bakery,Cafe,Donuts",48.3852997,-89.2702026
"Perkins Restaurant & Bakery (Bismarck - Gateway Shopping Ct)","1100 E Interstate Ave, Bismarck, ND","Breakfast and Brunch,American,Dinner,Bakery,Desserts,Family Meals",46.8349991,-100.7829971
"The Uptowner Cafe On Grand","1100 Grand Ave, Saint Paul, MN 55105","Breakfast and Brunch,American,Sandwiches",44.9398003,-93.1556015
"Dancing Ganesha","1100 Harmon Pl, Minneapolis, MN 55403","$$,Indian,Chicken,Local Eats",44.9743004,-93.2874985
"Caribou Coffee (1100 Nicollet Ave)","1100 Nicollet Ave, Minneapolis, MN 55403","$$,Coffee and Tea,Breakfast and Brunch,Bakery",44.9729004,-93.2846985
